EventId,EventTemplate,Occurrences
11b0965a,<*> error <*> <*> null <*> has no keys ,30
68f512b5,<*> line <*> <*> command not found ,5
02811a8e,<*> cannot stat <*> No such file or directory ,2984
203accb9,<*> <*> command not found ,2
0616765b,<*> <*> <*> <*> No such file or directory ,6
1d8e378b,<*> cannot access <*> No such file or directory ,22
4fc7ccb6,<*> <*> Command not found ,2
b5f6193c,<*> <*> <*> <*> ,13
a625d315,<*> <*> No such file ,62
aa4ade48,<*> <*> No such file or directory ,3521
c80806ce,<*> cannot <*> <*> No such file or directory ,11
d6e91fae,<*> no <*> <*> ,1
156d178c,<*> <*> No such <*> <*> <*> ,1
3dab19f7,<*> <*> <*> <*> file <*> <*> <*> not <*> ,2
62dc12c7,<*> no such path <*> in HEAD ,1004
1de49765,<*> <*> blame <*> <*> <*> Error code <*> <*> ,247
ceea6d1c,<*> not a git repository <*> any parent <*> to <*> <*> <*> ,9
f92a4af6,<*> not a git repository <*> any of <*> parent <*> <*> ,2
bde62cf9,<*> cannot stat <*> <*> ,1
fc79954d,<*> No such file or directory ,1
ad4a9766,<*> <*> <*> <*> failed ,1
710b49aa,<*> <*> <*> Execution of <*> failed with exit code <*> ,6
bb9495ac,<*> <*> <*> No such file or directory ,3
3908b381,<*> <*> <*> <*> <*> <*> <*> ,9
48d3a89c,<*> <*> <*> <*> returned <*> exit status ,1
2d210e2a,<*> <*> <*> <*> Error <*> ,12
ab8c2b65,<*> <*> Execution of <*> failed with exit code <*> ,6
6a392684,<*> <*> <*> failed with exit code <*> ,2
347334c7,<*> <*> <*> <*> <*> ,3
13ec5b24,<*> <*> to <*> error <*> ,2
33651235,<*> <*> <*> to error <*> ,2
4cd2af99,<*> Command <*> <*> returned <*> exit status <*> ,9
8b571cb5,<*> ERROR <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> exception ,8
66a14e3e,Unable to <*> archive <*> Artifact instance has no attribute <*> ,5892
614d1e66,<*> <*> <*> No such file or <*> <*> ,4
40643b18,<*> No <*> <*> <*> <*> no <*> <*> ,1
8acb5c29,<*> <*> file NOT <*> <*> <*> ,8
d741f7d0,<*> to <*> <*> <*> <*> <*> <*> not <*> ,2
d306357a,<*> <*> <*> <*> before <*> <*> not <*> <*> ,1
b5f8f0ab,<*> <*> ,1
649733a9,<*> <*> <*> command line <*> <*> <*> ,1
ac9086df,<*> <*> syntax error before <*> ,7
9cdf2383,<*> <*> syntax error before <*> token ,9
a7d47815,<*> <*> <*> <*> <*> not <*> <*> ,2
aadeb078,<*> <*> <*> <*> <*> <*> in <*> <*> ,3
1f3a124c,<*> <*> <*> <*> <*> <*> <*> <*> <*> ,6
f90df12f,<*> <*> <*> <*> <*> <*> <*> <*> ,1
d9f54b8a,<*> <*> <*> <*> <*> <*> ,12
bc74706c,<*> <*> previous <*> of <*> <*> here ,1
5184e0a7,<*> <*> previous declaration of <*> <*> here ,1
472d9328,<*> invalid suffix <*> on integer constant ,30
60d10529,<*> <*> enumerator value for <*> not integer constant ,18
220f4111,<*> cannot stat <*> <*> <*> <*> <*> <*> <*> ,1
9c727fef,<*> No <*> <*> ,1
c8c51735,<*> line <*> <*> <*> not found ,1
79e49f41,<*> <*> declaration of <*> <*> <*> <*> <*> <*> ,2
af56f705,<*> <*> previous declaration <*> <*> here ,2
c98842c7,<*> <*> declaration of <*> <*> <*> <*> <*> <*> <*> ,2
8141df71,<*> <*> previous declaration <*> <*> <*> here ,2
28fc6444,<*> cannot remove <*> No such file or directory ,1374
8f78861f,<*> <*> <*> <*> <*> is not <*> ,5
182c2971,<*> cannot overwrite directory <*> with <*> ,64
2d13e9c7,<*> <*> previous <*> <*> <*> <*> <*> <*> ,5
793e20ca,<*> cannot <*> <*> ,1
13b46a52,error <*> from <*> ,1
cd236ea3,<*> <*> <*> line <*> <*> <*> ,1
7f5d341b,<*> is not <*> in <*> ,1
d0465896,<*> <*> is not <*> in <*> ,1
248e7e0e,<*> <*> section <*> <*> <*> overlaps previous sections ,23
ebd6610f,<*> <*> No <*> to <*> <*> <*> <*> <*> <*> <*> ,1
35a7fedb,<*> <*> <*> <*> <*> failed ,4
1aab3f56,<*> <*> <*> Error <*> ,5
f586c2f6,<*> cannot <*> <*> <*> <*> <*> ,6
8d76339a,<*> error <*> <*> <*> ,3
8c194344,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,2
70556bd7,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
7af0dadb,<*> <*> previous <*> declaration of <*> <*> here ,1
